team_id,team_name,player_id,player_name,type,reason,fixture_id,fixture_date
33,Manchester United,153434,W. Fish,Missing Fixture,Ankle Injury,1208021,2024-08-16T19:00:00+00:00
33,Manchester United,288006,R. Hojlund,Missing Fixture,Muscle Injury,1208021,2024-08-16T19:00:00+00:00
33,Manchester United,37145,T. Malacia,Missing Fixture,Knee Injury,1208021,2024-08-16T19:00:00+00:00
33,Manchester United,891,L. Shaw,Missing Fixture,Health problems,1208021,2024-08-16T19:00:00+00:00
33,Manchester United,342970,L. Yoro,Missing Fixture,Ankle Injury,1208021,2024-08-16T19:00:00+00:00
33,Manchester United,889,V. Lindelof,Questionable,Injury,1208021,2024-08-16T19:00:00+00:00
57,Ipswich,126791,N. Broadhead,Missing Fixture,Thigh Injury,1208022,2024-08-17T11:30:00+00:00
57,Ipswich,138836,H. Clarke,Missing Fixture,Achilles Tendon Injury,1208022,2024-08-17T11:30:00+00:00
57,Ipswich,20167,J. Donacien,Missing Fixture,Groin Injury,1208022,2024-08-17T11:30:00+00:00
57,Ipswich,8794,G. Hirst,Missing Fixture,Knee Injury,1208022,2024-08-17T11:30:00+00:00
57,Ipswich,326763,C. Humphreys,Questionable,Injury,1208022,2024-08-17T11:30:00+00:00
40,Liverpool,334729,B. Clark,Missing Fixture,Back Injury,1208022,2024-08-17T11:30:00+00:00
42,Arsenal,1117,K. Tierney,Missing Fixture,Muscle Injury,1208023,2024-08-17T14:00:00+00:00
42,Arsenal,2597,T. Tomiyasu,Missing Fixture,Knee Injury,1208023,2024-08-17T14:00:00+00:00
42,Arsenal,41725,F. Vieira,Questionable,Groin Injury,1208023,2024-08-17T14:00:00+00:00
39,Wolves,380653,L. Chiwome,Missing Fixture,Ankle Injury,1208023,2024-08-17T14:00:00+00:00
39,Wolves,385726,E. Gonzalez,Missing Fixture,Knee Injury,1208023,2024-08-17T14:00:00+00:00
39,Wolves,7722,S. Kalajdzic,Missing Fixture,Knee Injury,1208023,2024-08-17T14:00:00+00:00
39,Wolves,130,N. Semedo,Missing Fixture,Red Card,1208023,2024-08-17T14:00:00+00:00
45,Everton,330412,Chermiti,Missing Fixture,Ankle Injury,1208024,2024-08-17T14:00:00+00:00
45,Everton,18758,S. Coleman,Missing Fixture,Calf Injury,1208024,2024-08-17T14:00:00+00:00
45,Everton,895,J. Garner,Missing Fixture,Calf Injury,1208024,2024-08-17T14:00:00+00:00
45,Everton,138417,N. Patterson,Missing Fixture,Thigh Injury,1208024,2024-08-17T14:00:00+00:00
45,Everton,17661,J. Branthwaite,Questionable,Groin Injury,1208024,2024-08-17T14:00:00+00:00
51,Brighton,70747,J. Enciso,Missing Fixture,Knee Injury,1208024,2024-08-17T14:00:00+00:00
51,Brighton,18973,S. March,Missing Fixture,Knee Injury,1208024,2024-08-17T14:00:00+00:00
51,Brighton,129058,B. Verbruggen,Missing Fixture,Injury,1208024,2024-08-17T14:00:00+00:00
